imgSrc,text
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,THE DUNGEON ARE INSIDE THE DARK DEEP AND TRAP WAS SOMETHING.  THE OTHER POEPLE ARE WAS VERY SHOCKED TO LOOK DOWN. THERE IS SOMETHING WRONG WITH DOWN.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,in this image the girl was make a beauty.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,SHE WAS INFRONT OF THE WALL AND SHE CRAPPING SOMETHING IN HER HAND. SHE LOOKED WASSOMETHING VERY SERIOUSLY AND SHE WAS THINKING VERY SERIOUSLY.SHE LOST HER MIND.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,THE SOME POPLE AND ANIMAL LOOK DOUM IN THE BOTTOM. SEE SOMETHING ELSE VERY SERIOUSLY. THEY ARE LOOK VERY  SHOCK.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,there's a guy surprised and tried by some event  visibly dirty  and in disbelief of what's going on. he exclaims a nod of astonishment.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,THE BOY WAS FALLING DOWN AND SHOKED. HE IS NOT TRYING TO WAKE.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,A LITTLE BOY STANDING. HE IS LOOKING A DRESS.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,The annoyingly cheery voice echoed from a distance.That damned assistant only offered advice after someone died.Jung Dawoon was at the bottom of a deep pit.The ground was covered in sharp  metal spikes.One of the spikes had pierced his stomach. Jung Dawoon was dying. It is very sad images.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,the students are studying in school . the students face are happy feeling .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,THE SOME OF THE HUMAN  IN LOOKING OF WORKING PLACE
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,THERE ARE SOME GYU..S ARE HERE TALKING ABOUT THERIR FRIENDS
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,Dani is get readying to late . so her mom is questioning him.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,the image  one boy are looking the dress  expression or very happy 
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,HE WAS SHOCKED AND FREEZED BECAUSE HE WAS WATCHING A ...................
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,The boy lied on the floor and panic also
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg, The Human   In The Looking  Working place on human
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,The male was crying and someone asked him about the reason.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,The one boy was in the room there is a bed and a boy was looking the dress and he had an idea bout it he thinks very sincerely
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,The doll was over thinking and confusing. that picture was clear
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,People look concerned as they peer down into a hole.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,People are whispering between each other as they observe a young girl dropping her glass.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,A man in the picture asks a girl for a handkerchief and the girl is forced to give it.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,in this image are two girls talk to the eyes.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,A GIRL ASKED HER MOM TO GET LATE TIME. GIRL ASKED HER  SCHOOL UNIFORM FOR SCHOOL
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,he is asking what happened.he is saying ursh....
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,Someone is on the bottom of the hole.  And Others are talking to him.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,in this image  one girl thinking the our profession course
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,two girls were speaking in this image and one  with angry replying and another girls is pleasing with thst girl
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,A young man lying down on sharp things.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,some people discuss above the thoughts. all people around the one group leader .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,the person will fall the floor and the face expression is very sad the comic image is a actor .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,the boy is standing and observe the shirt on the bed rood .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,He might be happy or sad &  for this reason he  crying.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,DANI'S MOM  SCOLDING HIM TO GET UP TO SCHOOL
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,SHE IS LOOKING FOR HER DRESS AND THINKING ABOUT.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,in this image two person is conversation  in current situvation.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,Its seems like the person in the comic is too shocked and asking what happened? .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,The boy was felt very sad because he has some problems
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,Somebodies are seeing in a large trap in a bottom.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,SHE WAS DID SOMETHING WRONG. ANOTHER WOMEN WAS VERY ANGRY ABOUT HER. SHE SAYING FORGIVE ME BUT ANOTHER WOMEN NOT FORGIVEN HER.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,SHELL PROBABLY START BAWLING HER EYES OUT SOON
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,As a boy was late to going on school. Our mom was what are doing here to going late already.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,Son is asking his school uniform urgently to his mom.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,A GIRL ASKED JESSIE A HANDKECHEIF   AND SHE SAID YES TO BRING HER KERCHEIF
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,She will probably start bawling her eyes cut soon.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,THE GIRL WAS LOOKING SCARY IN SEEING ANOTHER GIRL. THAT ANOTHER GIRL LOOKING LIKE A DEVIL.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,two  peoples are walking  at home and one looking like sad and other angry .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,This picture shows like a  boy's  arrogant nd angry face  to see and he is trying to fight with somebody with some weapons
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,A BOY WAS SHOCKED TO SEE HER DRESS IN THE ROOM
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,ONE LITTLE GIRL IS SITING ON A CHAIR. SHE IS LOOKING A HANDKERCIEF. SHE IS REACTION IS VERY  SCARED.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,The boy was shocked in the room and he was panic .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,A LITTLE BOY STANDING A BEDROOM. HE IS LOOKING A DRESS.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,HE WAS TRAPED IN THE HOLE AND SEVERELY INSURED. HE WAS TRY  TO  GET UP FROM THE HOLE.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,him expression and face reaction he was so tension
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,just so you know there are also traps at the bottom
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,THE BOY WAS LOOKING HER SISTER LOOKS DRESS
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,That girl looking sad and say sorry to her
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,she'll probably start bawling her eyes out soon.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,the man sleeping and open the mouth and crying
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,The two cartoon  fight.one cartoon saving the problem. but next cartoon angry.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,THE GUNGEON WAS INSIDE THE TRAP DEEP DOWN./ HE WAS DYING THER . BECAUSE THEY ARE NOT KNOW WHAT WAS DOWN.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,SHE WAS CUT HER LEG AND BLEEDING. SHE DIDNOT NOTICE HER LEG. SHEWAS SUDDENLY SHOCKED.  SHE DREESEDHER VERY LOOK NICE. ALL OTHER PEOPLE WAS SHOCKING TO LOOK HER.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,A little boy name is Dani. He don't going to school. Because him dress was damaged.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,ARIA LEG IS  CUT.  SHE IS  VERY.  SHE TOOK THE HANDKERCHIEF FROM HER MAID AND WIPED HER HAND  THEN LEFT HER SEAT AFTER APOLOGIZING FOR CRETING A DISTURBANCE.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,The girl was looking infront of the dress and she was angry .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,him expression was so tension  and something problem
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,SHE WAS INSUREDIN HER LEG WITH A GLASS PIECE.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,IS THERE SOME CUT IN HER LEG SHE WAS TO PANIC. THEN SHE DRESSING HER WOUND.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,The boy name is Dungeon.there  are experiment.but unfortunately  he is felt down. he is come out definitely not .he is tired.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,he is crying. and he is thinking in how i die? he's hand full of blood. he is very bad situation
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,one people lying on the floor and crying loudly after murdered by someone
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,A man asking a handkerchief and the girl accept to bring that
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,The picture shows a boy falling into a cave with various injuries and bleeding. Several people from above the cave came forward to help him.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,14 YEARS LITTLE  GIRL IS READY TO DRESSING UP.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,He very sad  and she is very disturbed and we are on the boat
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,HE WAS TRAPED IN THE HOLE AND SEVERELY INSURED.AND HE TRY TOGET UP FROM THE HOLE.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,THE WOMEN WAS HIT ON HER LEFT LEG
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,The boy requested something t the girl and he felt very much
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,acter are kill in some peple so acter is falled in land
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,A Little boy is Standing Bed room And Watching A dress
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_3.jpg,He is looking very sad and he is talking to her
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,HE WAS TRAPED INSIDE THE DEEP TRAP. HE WAS DYING I NSIDE THE DRAKNESS. EVERYBODY WAS SHOCKED LOOKING DOWN.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_4.jpg,he is look very sad. he is think about something. he want a answer. he want to ask question and he need answer.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_2.jpg,The girl was looking the bed  . She was angry
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,THE GROUND WAS COVERED I SHARP  METAL SPIKES. ONE OF THE SPIKES HAD PIERCED HIS STOMACH.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_3.jpg,May be  they are going to see a big hole . When they seeing  the hole someone fall into the hole and get small pain. For this reasons he crying.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,Some peoples see in large trap on the bottom.
